approved,country,description,eiaid,enddate,is_default,label,name,revisions,sector,servicetype,source,sourceparent,startdate,uri,utility
True,USA,"Applies to single-motor installations rated 35 horsepower or more, to multi-load installations aggregating 15 horsepower or kilowatts or more, and to ""overloaded"" motors. The customer's end-use is determined to be overloaded when the measured input to any motor rated 15 horsepower or more is determined by PG&E to exceed one kilowatt per horsepower of nameplate rated output. Rates E and F apply to customers who were on Rates E and F as of May 1, 2006 and are not billed via SmartMeter&trade;. Rates B and C apply to all other customers.",14328,1398841200,,539f75d4ec4f024411ed186d,AG-4F,"[1393278779, 1393278807, 1393278846, 1398715825, 1408625432, 1409305900, 1427405214]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_AG-4.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388563200,https://apps.openei.org/IURDB/rate/view/539f75d4ec4f024411ed186d,Pacific Gas & Electric Co
True,USA,"Applies to customers who were on Rate W as of May 1, 2006.

Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.05914 per meter per day * 365 days/ 12 months).",14328,1398841200,,539f764eec4f024411ed1db5,A-6 Meter Charge (W),"[1392241267, 1392241285, 1392241355, 1393432109, 1409238077, 1427405200]",Commercial,,http://www.pge.com/tariffs/ERS.SHTML,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388581200,https://apps.openei.org/IURDB/rate/view/539f764eec4f024411ed1db5,Pacific Gas & Electric Co
True,USA,"If the customer's demand exceeds 499 kW for three consecutive months, the customer's account will be transferred to Schedule E-19 or E-20.",14328,1398841200,,539fb3dcec4f024bc1dbe2bb,A-10 TOU Transmission Voltage,"[1392323976, 1392325125, 1393969798, 1398715905, 1408625439, 1409310270, 1427405184]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-10.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388563200,https://apps.openei.org/IURDB/rate/view/539fb3dcec4f024bc1dbe2bb,Pacific Gas & Electric Co
True,USA,"This schedule is available on a voluntary basis for customers with maximum billing demands less than 500 kW. Customers voluntarily taking service on this schedule are subject to all the terms and conditions below, unless otherwise specified in Section 14.

Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter&trade; installed. 

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1398841200,,539fb400ec4f024bc1dbe465,"E-19 (Transmission, Voluntary)","[1393364338, 1393364443, 1393364515, 1394216684, 1398715937, 1400039430, 1409308299, 1427405190]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388581200,https://apps.openei.org/IURDB/rate/view/539fb400ec4f024bc1dbe465,Pacific Gas & Electric Co
True,USA,"Applies to customers who were on A-6 as of May 1, 2006.

Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.20107 per meter per day * 365 days/ 12 months).",14328,1398841200,,539fb411ec4f024bc1dbe4e5,A-6 Meter Charge (A-6),"[1392241113, 1392241147, 1392241237, 1393432050, 1409237920, 1427405219]",Commercial,,http://www.pge.com/tariffs/ERS.SHTML,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388581200,https://apps.openei.org/IURDB/rate/view/539fb411ec4f024bc1dbe4e5,Pacific Gas & Electric Co
True,USA,"Applies to single-motor installations rated 35 horsepower or more, to multi-load installations aggregating 15 horsepower or kilowatts or more, and to ""overloaded"" motors. The customer's end-use is determined to be overloaded when the measured input to any motor rated 15 horsepower or more is determined by PG&E to exceed one kilowatt per horsepower of nameplate rated output. Rates E and F apply to customers who were on Rates E and F as of May 1, 2006 and are not billed via SmartMeter&trade;. Rates B and C apply to all other customers.",14328,1398841200,,539fb57eec4f024bc1dbf5a3,AG-4E,"[1392756369, 1392756394, 1392756606, 1392756640, 1392756756, 1392757003, 1398716126, 1408625859, 1409303242, 1427405194]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_AG-4.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388563200,https://apps.openei.org/IURDB/rate/view/539fb57eec4f024bc1dbf5a3,Pacific Gas & Electric Co
True,USA,"Applies to single-motor installations rated 35 horsepower or more, to multi-load installations aggregating 15 horsepower or kilowatts or more, and to ""overloaded"" motors. The customer's end-use is determined to be overloaded when the measured input to any motor rated 15 horsepower or more is determined by PG&E to exceed one kilowatt per horsepower of nameplate rated output. Rates E and F apply to customers who were on Rates E and F as of May 1, 2006 and are not billed via SmartMeter&trade;. Rates B and C apply to all other customers.

Rates B and C will apply to those customers whose maximum demand is 200 kW or greater for three consecutive months and select this schedule upon the initial installation of the interval data meter, unless the customer was on Rate E or F as of May 1, 2006 and is not billed via SmartMeter&trade;.",14328,1398841200,,539fb6c8ec4f024bc1dc0493,AG-4B,"[1392325657, 1392752438, 1392755721, 1392755824, 1394210338, 1398716251, 1408625866, 1409301417, 1427405184]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_AG-4.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388563200,https://apps.openei.org/IURDB/rate/view/539fb6c8ec4f024bc1dc0493,Pacific Gas & Electric Co
True,USA,Time of Use Rate for Primary Voltage.,14328,1398841200,,539fb7aaec4f024bc1dc0e9f,A-10 TOU Primary,"[1392323383, 1392323648, 1393969795, 1398881093, 1408625952, 1409310163, 1427405207]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-10.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388563200,https://apps.openei.org/IURDB/rate/view/539fb7aaec4f024bc1dc0e9f,Pacific Gas & Electric Co
True,USA,"Secondary Voltage Rate
Schedule A-10 is a demand metered rate schedule for general service customers.  Schedule 
A-10 applies to single-phase and polyphase alternating-current service (for a description of 
these terms, see Section D of Rule 2*).  This schedule is not available to residential or 
agricultural service for which a residential or agricultural schedule is applicable, except for 
single-phase and polyphase service in common areas in a multifamily complex (see 
Common-Area Accounts section). 
Under Rate Schedule A-10, there is a limit on the demand (the number of kilowatts (kW)) the 
customer may require from the PG&E system.  If the customer's demand exceeds 499 kW for 
three consecutive months, the customer's account will be transferred to Schedule E-19 or 
E-20. 
Under Rate Schedule A-10, a bundled service customer with a maximum demand of 200 kW 
or greater for three consecutive months must have an interval data meter that can be read 
remotely by PG&E and pay the time-of-use (TOU) charges in accordance with the terms and 
conditions of this rate schedule",14328,1398841200,,539fb7dcec4f024bc1dc107d,A-10 Secondary Voltage,"[1392321044, 1392322801, 1392322978, 1393969649, 1398881155, 1408625949, 1409238791, 1427405181]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-10.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388563200,https://apps.openei.org/IURDB/rate/view/539fb7dcec4f024bc1dc107d,Pacific Gas & Electric Co
True,USA,"Applies to single-motor installations with a connected load rated less than
35 horsepower and to all multi-load installations aggregating less than
15 horsepower or kilowatts.",14328,1398841200,,539fba79ec4f024bc1dc2e2f,AG-1 Option A,"[1392327455, 1392327665, 1393969902, 1409299306, 1427405183]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_AG-1.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388581200,https://apps.openei.org/IURDB/rate/view/539fba79ec4f024bc1dc2e2f,Pacific Gas & Electric Co
True,USA,"This schedule is also not available to customers whose meter indicates a maximum demand of 75 kW or greater for three consecutive months.

Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.32854 per meter per day * 365 days/ 12 months).

Note: this is not the TOU rate option, so there is a PDP (Peak Day Pricing) of 60 cents/kWh during the PDP events (9 to 15 days out of the year).",14328,1398841200,,539fbe00ec4f024c27d88209,"A-1 (Option A, Single-Phase)","[1392236261, 1392236783, 1392236805, 1392238108, 1393967982, 1409229047, 1427405183]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-1.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388581200,https://apps.openei.org/IURDB/rate/view/539fbe00ec4f024c27d88209,Pacific Gas & Electric Co
True,USA,"Applies to single-motor installations rated 35 horsepower or more, to multi-load installations aggregating 15 horsepower or kilowatts or more, and to ""overloaded"" motors. The customer's end-use is determined to be overloaded when the measured input to any motor rated 15 horsepower or more is determined by PG&E to exceed one kilowatt per horsepower of nameplate rated output.",14328,1398841200,,539fbfc6ec4f024c27d8953b,AG-1 Option B,"[1392327714, 1392751795, 1393969907, 1398717327, 1408625993, 1409299563, 1427405218]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_AG-1.pdf,http://www.pge.com/tariffs/ERS.SHTML,1391241600,https://apps.openei.org/IURDB/rate/view/539fbfc6ec4f024c27d8953b,Pacific Gas & Electric Co
True,USA,"Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.65708 per meter per day * 365 days/ 12 months).",14328,1398841200,,539fbfeaec4f024c27d896af,A-6 Poly Phase,"[1392240758, 1392240816, 1392240897, 1393432216, 1393969331, 1409237687, 1427405217]",Commercial,,http://www.pge.com/tariffs/ERS.SHTML,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388581200,https://apps.openei.org/IURDB/rate/view/539fbfeaec4f024c27d896af,Pacific Gas & Electric Co
True,USA,"Primary Voltage Rate

If the customer's demand exceeds 499 kW for three consecutive months, the customer's account will be transferred to Schedule E-19 or E-20.

Peak Day Pricing Default Rates: Peak Day Pricing (PDP) rates provide customers the opportunity to manage their electric costs by reducing load during high cost periods or shifting load from high cost periods to lower cost periods",14328,1398841200,,539fc203ec4f024c27d8ace7,A-10 Primary Voltage,"[1392318630, 1392318767, 1392320184, 1393969626, 1398889396, 1409238456, 1427405194]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-10.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388581200,https://apps.openei.org/IURDB/rate/view/539fc203ec4f024c27d8ace7,Pacific Gas & Electric Co
True,USA,"This schedule is available on a voluntary basis for customers with maximum billing demands less than 500 kW. Customers voluntarily taking service on this schedule are subject to all the terms and conditions below, unless otherwise specified in Section 14.

Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter&trade; installed.",14328,1398841200,,539fc217ec4f024c27d8ae25,"E-19 (Secondary, Voluntary)","[1393357453, 1393358442, 1394211015, 1398796822, 1400038843, 1409307925, 1427405209]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,,1388581200,https://apps.openei.org/IURDB/rate/view/539fc217ec4f024c27d8ae25,Pacific Gas & Electric Co
True,USA,"Applies to single-motor installations with a connected load rated less than 35 horsepower and to all multi-load installations aggregating less than 15 horsepower or kilowatts. Rate D applies to customers who were on Rate D as of May 1, 2006 and are not billed via SmartMeter&trade;. Rate A applies to all other customers.",14328,1398841200,,539fc515ec4f024c27d8cda5,AG-4D,"[1393275339, 1393275389, 1393275472, 1393275505, 1393275518, 1393275775, 1393278644, 1398717420, 1408626039, 1409302857, 1427405195]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_AG-4.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388563200,https://apps.openei.org/IURDB/rate/view/539fc515ec4f024c27d8cda5,Pacific Gas & Electric Co
True,USA,"Applies to customers who were on Rate X as of May 1, 2006 or who enroll
on A-6 on or after May 1, 2006

Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.20107 per meter per day * 365 days/ 12 months).",14328,1398841200,,539fc76eec4f024d2f53dbd4,A-6 Meter Charge (X),"[1392241391, 1392241472, 1393432151, 1409238191, 1427405211]",Commercial,,http://www.pge.com/tariffs/ERS.SHTML,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388581200,https://apps.openei.org/IURDB/rate/view/539fc76eec4f024d2f53dbd4,Pacific Gas & Electric Co
True,USA,"Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter&trade; installed.

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1398841200,,539fc7f0ec4f024d2f53e176,"E-19 (Transmission, Mandatory)","[1393363672, 1393363776, 1393364239, 1393364291, 1394216658, 1398717457, 1400039460, 1409308109, 1427405216]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388581200,https://apps.openei.org/IURDB/rate/view/539fc7f0ec4f024d2f53e176,Pacific Gas & Electric Co
True,USA,"Applies to single-motor installations with a connected load rated less than 35 horsepower and to all multi-load installations aggregating less than 15 horsepower or kilowatts. Rate D applies to customers who were on Rate D as of May 1, 2006 and are not billed via SmartMeter&trade;. Rate A applies to all other customers. 

Peak Day Pricing Rates apply to this rate. Peak Day Pricing events occur between 9 and 15 times a year.",14328,1398841200,,539fc8beec4f024d2f53e9fc,AG-4A,"[1392756981, 1392758926, 1392761316, 1398717666, 1408626126, 1409300829, 1427405183]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_AG-4.pdf,http://www.pge.com/tariffs/ERS.SHTML,1388563200,https://apps.openei.org/IURDB/rate/view/539fc8beec4f024d2f53e9fc,Pacific Gas & Electric Co
True,USA,"This schedule is also not available to customers whose meter indicates a maximum demand of 75 kW or greater for three consecutive months.

Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.65708 per meter per day * 365 days/ 12 months).

Note: this is not the TOU rate option, so there is a PDP (Peak Day Pricing) of 60 cents/kWh during the PDP events (9 to 15 days out of the year).",14328,1398841200,,539fc8d1ec4f024d2f53eab6,"A-1 (Option A, Poly-Phase)","[1392237001, 1392237065, 1392238063, 1393367013, 1393967968, 1406544568, 1406544617, 1409226065, 1427405184]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-1.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388563200,https://apps.openei.org/IURDB/rate/view/539fc8d1ec4f024d2f53eab6,Pacific Gas & Electric Co
True,USA,"Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.32854 per meter per day * 365 days/ 12 months).",14328,1398841200,,539fc99cec4f024d2f53f2fa,A-6 Single Phase,"[1392240070, 1392240633, 1392240726, 1393969336, 1398796430, 1409237464, 1427405190]",Commercial,,http://www.pge.com/tariffs/ERS.SHTML,http://www.pge.com/tariffs/ERS.SHTML#ERS,1388581200,https://apps.openei.org/IURDB/rate/view/539fc99cec4f024d2f53f2fa,Pacific Gas & Electric Co
True,USA,"Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter&trade; installed.

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1425110400,,5400a3355257a3382999cb99,"E-19 -Medium General Demand- TOU (Primary, Mandatory)","[1409306325, 1409306748, 1409317928, 1427405206, 1431510972]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,http://www.pge.com/tariffs/ERS.SHTML,1398927600,https://apps.openei.org/IURDB/rate/view/5400a3355257a3382999cb99,Pacific Gas & Electric Co
True,USA,"Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking 
voluntary TOU service under this rate schedule will no longer be applied if the customer 
has a SmartMeter&trade; installed.

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1425110400,,5400a8635257a30c3299cb96,"E-19 Medium General Demand- TOU (Secondary, Mandatory)","[1409307651, 1409307904, 1409317981, 1427405190, 1431511964]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,http://www.pge.com/tariffs/ERS.SHTML,1398927600,https://apps.openei.org/IURDB/rate/view/5400a8635257a30c3299cb96,Pacific Gas & Electric Co
True,USA,"This schedule is available on a voluntary basis for customers with maximum billing demands less than 500 kW. Customers voluntarily taking service on this schedule are subject to all the terms and conditions below, unless otherwise specified in Section 14.

Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter&trade; installed.",14328,1458716400,,5400a9755257a3382999cb9b,"E-19 Medium General Demand- TOU(Secondary, Voluntary)","[1409307925, 1409308098, 1409317984, 1427405196, 1435689297, 1435744167, 1435744185, 1464689861]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,,1398927600,https://apps.openei.org/IURDB/rate/view/5400a9755257a3382999cb9b,Pacific Gas & Electric Co
True,USA,"Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter&trade; installed.

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1425110400,,5400aa2d5257a3083099cb9a,"E-19 Medium General Demand- TOU (Transmission, Mandatory)","[1409308109, 1409308285, 1409318031, 1427405219, 1431514656]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,http://www.pge.com/tariffs/ERS.SHTML,1398927600,https://apps.openei.org/IURDB/rate/view/5400aa2d5257a3083099cb9a,Pacific Gas & Electric Co
True,USA,"This schedule is available on a voluntary basis for customers with maximum billing demands less than 500 kW. Customers voluntarily taking service on this schedule are subject to all the terms and conditions below, unless otherwise specified in Section 14.

Ongoing daily Time-of-Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter&trade; installed. 

Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",14328,1458716400,,5400aaeb5257a3fa3299cb96,"E-19 Medium General Demand- TOU(Transmission, Voluntary)","[1409308299, 1409308456, 1409318028, 1427405199, 1464690409]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_E-19.pdf,http://www.pge.com/tariffs/ERS.SHTML,1398927600,https://apps.openei.org/IURDB/rate/view/5400aaeb5257a3fa3299cb96,Pacific Gas & Electric Co
True,USA,"Applies to customers who were on A-6 as of May 1, 2006.

Fixed Monthly Charge is the Total Customer Charge per day, averaged out for a month. ($0.20107 per meter per day * 365 days/ 12 months).",14328,1458716400,,555239e75457a3b51d8b4569,A-6 Small General Service TOU-Meter Charge (A-6),"[1431430535, 1431430597, 1464626665]",Commercial,,http://www.pge.com/tariffs/ERS.SHTML,http://www.pge.com/tariffs/ERS.SHTML#ERS,1425196800,https://apps.openei.org/IURDB/rate/view/555239e75457a3b51d8b4569,Pacific Gas & Electric Co
True,USA,"If the customer's demand exceeds 499 kW for three consecutive months, the customer's account will be transferred to Schedule E-19 or E-20.",14328,1458716400,,555247f55457a3293b8b456d,A-10 Medium General Demand Service Transmission Voltage,"[1431434133, 1431434173, 1464627476]",Commercial,,http://www.pge.com/tariffs/tm2/pdf/ELEC_SCHEDS_A-10.pdf,http://www.pge.com/tariffs/ERS.SHTML#ERS,1425196800,https://apps.openei.org/IURDB/rate/view/555247f55457a3293b8b456d,Pacific Gas & Electric Co
